Rank,First,Last,Year,Team,Std,Seed,Event,Invited
31,Grace,Frericks,JR,Kentucky,B,01:53.0,200 Backstroke,Qualified
32,Aviv,Barzelay,SR,Texas A&M,B,01:53.1,200 Backstroke,Qualified
33,Natalie,Mannion,JR,Stanford,B,01:53.2,200 Backstroke,Qualified
34,Emma,Kern,SO,Texas,B,01:53.2,200 Backstroke,Qualified
35,Charlotte,Cullen,FR,Houston,B,01:53.2,200 Backstroke,Qualified
36,Maren,Conze,SO,UNC,B,01:53.3,200 Backstroke,Qualified
37,Ryenne,Ulett,SR,Louisville,B,01:53.3,200 Backstroke,Qualified
38,Mya,Dewitt,JR,Indiana,B,01:53.4,200 Backstroke,Invited
39,Claire,Jansen,JR,Pittsburgh,B,01:53.4,200 Backstroke,Invited
40,Celia,Pulido,SR,SIUC (W),B,01:53.7,200 Backstroke,Invited
41,Ava,Yablonski,JR,Minnesota,B,01:53.7,200 Backstroke,Invited
42,Kacey,McKenna,SR,Indiana,B,01:53.8,200 Backstroke,Invited
43,Casey,Chung,Grad,Michigan,B,01:53.9,200 Backstroke,Invited
44,Mackenzie,Hodges,SO,Southern Cali,B,01:53.9,200 Backstroke,Invited
45,Ella,Bathurst,SR,Virginia,B,01:54.0,200 Backstroke,Invited
46,Elizabeth,Murphy,JR,UCLA,B,01:54.1,200 Backstroke,Invited
47,Sofia,Sartori,JR,LSU,B,01:54.4,200 Backstroke,Invited
48,Kimberly,Shannon,FR,Pittsburgh,B,01:54.6,200 Backstroke,Invited
49,Aislin,Farris,JR,UNC,B,01:54.9,200 Backstroke,Invited
50,Charlotte,Brown,SR,Arizona St,B,01:55.5,200 Backstroke,Invited
51,Malia,Amuan,JR,Michigan,B,01:55.9,200 Backstroke,Invited
1,Gretchen,Walsh,SR,Virginia,A,45.2,100 Freestyle,Qualified
2,Victoria,Huske,JR,Stanford,A,46.09,100 Freestyle,Qualified
3,Camille,Spink,SO,Tennessee,A,46.25,100 Freestyle,Qualified
4,Annaliesa,Moesch,FR,Virginia,A,46.76,100 Freestyle,Qualified
5,Julia,Dennis,JR,Louisville,B,47.15,100 Freestyle,Qualified
6,Lindsay,Flynn,SR,Michigan,B,47.3,100 Freestyle,Qualified
7,STEPHANIE,BALDUCCINI,SO,Michigan,B,47.33,100 Freestyle,Qualified
8,Minna,Abraham,SO,Southern Cali,B,47.34,100 Freestyle,Qualified
9,Anna,Peplowski,SR,Indiana,B,47.37,100 Freestyle,Qualified
10,Erin,Gemmell,SO,Texas,B,47.38,100 Freestyle,Qualified
11,Brooklyn,Douthwright,SR,Tennessee,B,47.44,100 Freestyle,Qualified
12,Ava,Longi,Grad,Texas,B,47.46,100 Freestyle,Qualified
12,Gabi,Albiero,Grad,Louisville,B,47.46,100 Freestyle,Qualified
14,Mary-Ambre,MOLUH,FR,California,B,47.63,100 Freestyle,Qualified
14,Olivia,Nel,JR,NC State,B,47.63,100 Freestyle,Qualified
16,Tatum,Wall,JR,Duke,B,47.65,100 Freestyle,Qualified
17,Kristina,Paegle,JR,Indiana,B,47.66,100 Freestyle,Qualified
18,Teresa,Ivan,SR,Ohio St,B,47.74,100 Freestyle,Qualified
19,Giulia,Carvalho,SR,Miami (FL),B,47.78,100 Freestyle,Qualified
19,Helena,Jones,SO,Georgia,B,47.78,100 Freestyle,Qualified
19,Grace,Cooper,Grad,Texas,B,47.78,100 Freestyle,Qualified
22,Maxine,Parker,Grad,Virginia,B,47.81,100 Freestyle,Qualified
23,Zita,Szoke,SO,Ohio,B,47.84,100 Freestyle,Qualified
24,Zara,Zallen,SO,Missouri,B,47.87,100 Freestyle,Qualified
25,Nicole,Venema,Grad,Northwestern,B,47.9,100 Freestyle,Qualified
26,Jada,Scott,SO,Alabama,B,47.94,100 Freestyle,Qualified
27,Lucy,Mehraban,SO,Louisville,B,47.98,100 Freestyle,Qualified
27,Chloe,Stepanek,Grad,Texas A&M,B,47.98,100 Freestyle,Qualified
29,Emily,Claesson,JR,Virginia Tech,B,47.99,100 Freestyle,Qualified
29,Garlynd,Johnson,JR,Stanford,B,47.99,100 Freestyle,Qualified
31,Cadence,Vincent,SO,Alabama,B,48,100 Freestyle,Qualified
31,Elizaveta,Klevanovich,Grad,Auburn,B,48,100 Freestyle,Qualified
33,Amy,Tang,SR,Stanford,B,48.02,100 Freestyle,Qualified
34,Claire,Newman,Grad,Michigan,B,48.03,100 Freestyle,Qualified
35,Eboni,McCarty,SR,Georgia,B,48.08,100 Freestyle,Qualified
36,Madison,Parker,SO,SMU,B,48.09,100 Freestyle,Qualified
37,Darcy,Revitt,FR,Washington St.,B,48.11,100 Freestyle,Qualified
38,Lilian,Christianson,FR,NC State,B,48.18,100 Freestyle,Invited
39,Sienna,Angove,FR,Ohio St,B,48.19,100 Freestyle,Invited
40,Brady,Kendall,JR,Michigan,B,48.2,100 Freestyle,Invited
41,Caroline,Larsen,FR,Louisville,B,48.21,100 Freestyle,Invited
42,Julia,Mrozinski,SR,Tennessee,B,48.26,100 Freestyle,Invited
43,Christey,Liang,JR,Michigan,B,48.28,100 Freestyle,Invited
44,Vasilissa,Buinaia,Grad,Southern Cali,B,48.29,100 Freestyle,Invited
45,Michaela,De Villiers,JR,JR LSU,B,48.3,100 Freestyle,Invited
46,Reagan,Osborne,Grad,LSU,B,48.31,100 Freestyle,Invited
46,Jillian,Crooks,FR,Tennessee,B,48.31,100 Freestyle,Invited
48,Peyton,Curry,SR,South Carolina,B,48.45,100 Freestyle,Invited
48,Kamryn,Cannings,SO,Liberty,B,48.45,100 Freestyle,Invited
50,Mckenna,Stone,SR,California,B,48.47,100 Freestyle,Invited
51,diana,petkova,Grad,Alabama,B,48.49,100 Freestyle,Invited
52,Daria,Golovaty,FR,Louisville,B,48.55,100 Freestyle,Invited
53,Sofia,Maksimova,Grad,Cal Baptist,B,48.59,100 Freestyle,Invited
53,Hailey,Tierney,SO,Wisconsin,B,48.59,100 Freestyle,Invited
55,Alexis,Mulvihill,SR,Auburn,B,48.69,100 Freestyle,Invited
56,Karolina,Bank,JR,Missouri,B,48.7,100 Freestyle,Invited
57,Ella,Welch,JR,Louisville,B,48.73,100 Freestyle,Invited
58,Kayla,Wilson,JR,Stanford,B,48.74,100 Freestyle,Invited
59,Kailyn,Winter,SR,Alabama,B,48.76,100 Freestyle,Invited
60,Marie,Landreneau,FR,Georgia,B,48.77,100 Freestyle,Invited
60,Sophie,Yendell,Grad,Pittsburgh,B,48.77,100 Freestyle,Invited
62,Melissa,Nwakalor,SO,Richmond,B,48.78,100 Freestyle,Invited
63,Megan,Barnes,JR,LSU,B,48.79,100 Freestyle,Invited
64,Annika,Parkhe,FR,Stanford,B,48.82,100 Freestyle,Invited
64,Julia,Ullmann,FR,Arizona St,B,48.82,100 Freestyle,Invited
66,Annabel,Crush,SR,NC State,B,48.83,100 Freestyle,Invited
67,Erin,Milligan,Grad,Arizona St,B,48.85,100 Freestyle,Invited
68,Lindsay,Ervin,JR,Northwestern,B,48.91,100 Freestyle,Invited
69,Abby,Carlson,SR,Wisconsin,B,48.92,100 Freestyle,Invited
70,Greer,Pattison,SR,UNC,B,48.97,100 Freestyle,Invited
71,Kaitlyn,Owens,SR,Texas A&M,B,49.02,100 Freestyle,Invited
72,Tyler,Driscoll,SO,NC State,B,49.1,100 Freestyle,Invited
72,Claire,Tuggle,JR,Southern Cali,B,49.1,100 Freestyle,Invited
74,Zoe,CARLOS-BROC,FR,LSU,B,49.17,100 Freestyle,Invited
1,Lucerne,Bell,JR,Stanford,A,02:04.6,200 Breaststroke,Qualified
2,Kaelyn,Gridley,JR,Duke,A,02:05.7,200 Breaststroke,Qualified
3,Mona,McSharry,Grad,Tennessee,B,02:05.9,200 Breaststroke,Qualified
4,Avery,Wiseman,SR,Alabama,B,02:06.3,200 Breaststroke,Qualified
5,Mackenzie,Miller,JR,Brigham Young,B,02:06.5,200 Breaststroke,Qualified
6,McKenzie,Siroky,FR,Tennessee,B,02:06.6,200 Breaststroke,Qualified
7,Aimee,Canny,JR,Virginia,B,02:06.7,200 Breaststroke,Qualified
8,Emma,Weber,JR,Virginia,B,02:07.0,200 Breaststroke,Qualified
9,Emily,Lundgren,JR,Washington St.,B,02:07.1,200 Breaststroke,Qualified
10,Kaitlyn,Dobler,Grad,Southern Cali,B,02:07.2,200 Breaststroke,Qualified
10,Brearna,Crawford,SR,Indiana,B,02:07.2,200 Breaststroke,Qualified
12,Letitia,Sim,JR,Michigan,B,02:07.3,200 Breaststroke,Qualified
13,Mia,Cheatwood,JR,Louisville,B,02:07.7,200 Breaststroke,Qualified
14,Abigail,Herscu,JR,California,B,02:07.8,200 Breaststroke,Qualified
15,Leah,Hayes,FR,Virginia,B,02:07.8,200 Breaststroke,Qualified
16,Piper,Enge,FR,Texas,B,02:07.9,200 Breaststroke,Qualified
17,Abigail,Arens,Grad,Texas,B,02:07.9,200 Breaststroke,Qualified
18,Madeline,Huggins,SR,Florida St,B,02:08.0,200 Breaststroke,Qualified
19,Kim,Herkle,SR,Louisville,B,02:08.0,200 Breaststroke,Qualified
20,Hazal,Ozkan,JR,Wisconsin,B,02:08.2,200 Breaststroke,Qualified
21,Ana,Jih-Schiff,SR,UCLA,B,02:08.2,200 Breaststroke,Qualified
22,Lisa,NYSTRAND,FR,NC State,B,02:08.3,200 Breaststroke,Qualified
23,Aliz,Kalmar,JR,Fresno State,B,02:08.4,200 Breaststroke,Qualified
24,Grace,Palmer,FR,LSU,B,02:08.4,200 Breaststroke,Qualified
25,Molly,Mayne,SO,Florida,B,02:08.5,200 Breaststroke,Qualified
26,Anita,Bottazzo,FR,Florida,B,02:08.7,200 Breaststroke,Qualified
27,Ava,DeAngelis,SR,Ohio St,B,02:08.7,200 Breaststroke,Qualified
28,Virag,Peter,JR,Houston,B,02:08.7,200 Breaststroke,Qualified
28,Bridget,Engel,Grad,Kentucky,B,02:08.7,200 Breaststroke,Qualified
30,Skyler,Smith,SR,UNC,B,02:08.9,200 Breaststroke,Qualified
31,Audrey,Crawford,FR,Auburn,B,02:08.9,200 Breaststroke,Qualified
32,Lucy,Thomas,SO,Stanford,B,02:09.0,200 Breaststroke,Qualified
33,Olivia,Herron,JR,SIUC (W),B,02:09.1,200 Breaststroke,Qualified
34,Danika,Varda,FR,Ohio St,B,02:09.3,200 Breaststroke,Qualified
35,Jenna,Pulkkinen,SO,Fresno State,B,02:09.5,200 Breaststroke,Qualified
36,Margaux,McDonald,Grad,California,B,02:09.5,200 Breaststroke,Qualified
37,Grace,Sheble,SR,NC State,B,02:09.6,200 Breaststroke,Qualified
38,Sofia,Plaza,FR,Florida,B,02:10.2,200 Breaststroke,Invited
39,Delaney,Franklin,SO,South Carolina,B,02:10.3,200 Breaststroke,Invited
40,Katie,Christopherson,FR,Virginia,B,02:10.3,200 Breaststroke,Invited
41,Ashley,McMillan,SO,Southern Cali,B,02:10.3,200 Breaststroke,Invited
42,Fernanda,Gomes Celidonio,SR,SR,B,02:10.5,200 Breaststroke,Invited
43,Henrietta,Fangli,SR,Houston,B,02:10.7,200 Breaststroke,Invited
44,Zoe,Skirboll,JR,Virginia,B,02:10.8,200 Breaststroke,Invited
45,Paige,Delma,SO,Ohio St,B,02:11.0,200 Breaststroke,Invited
46,Campbell,Chase,FR,Texas,B,02:11.1,200 Breaststroke,Invited
47,Eleni,Gewalt,JR,Arizona,B,02:11.2,200 Breaststroke,Invited
48,Alyssa,Bozzuto,FR,Liberty,B,02:11.3,200 Breaststroke,Invited
49,Dakota,Tucker,SO,Princeton,B,02:11.5,200 Breaststroke,Invited
50,Ana,Adame,SR,Arizona St,B,02:11.5,200 Breaststroke,Invited
51,Reese,Tiltmann,SO,Indiana,B,02:11.6,200 Breaststroke,Invited
52,Karolina,Piechowicz,FR,UCLA,B,02:11.7,200 Breaststroke,Invited
53,Chloe,BRAUN,JR,UCSD,B,02:12.0,200 Breaststroke,Invited
54,Callahan,Dunn,Grad,Wisconsin,B,02:12.2,200 Breaststroke,Invited
55,Simone,Moll,FR,Miami (FL),B,02:12.3,200 Breaststroke,Invited
56,Kathryn,Hazle,SO,California,B,02:12.8,200 Breaststroke,Invited
1,Emma,Sticklen,Grad,Texas,A,01:49.2,200 Butterfly,Qualified
2,Alexandra,Walsh,Grad,Virginia,A,01:50.4,200 Butterfly,Qualified
3,Campbell,Stoll,SO,Texas,A,01:51.6,200 Butterfly,Qualified
4,Lillian,Nordmann,SR,Stanford,A,01:51.8,200 Butterfly,Qualified
5,Hannah,Bellard,SO,Michigan,A,01:52.0,200 Butterfly,Qualified
6,Caroline,Bricker,SO,Stanford,A,01:52.2,200 Butterfly,Qualified
7,Olivia,Bray,Grad,Texas,B,01:52.6,200 Butterfly,Qualified
8,Sara,Stotler,SR,Tennessee,B,01:52.7,200 Butterfly,Qualified
9,Tess,Howley,SO,Virginia,B,01:52.7,200 Butterfly,Qualified
10,Greta,Pelzek,SR,South Carolina,B,01:52.8,200 Butterfly,Qualified
11,Lilou,RESSENCOURT,SR,California,B,01:53.1,200 Butterfly,Qualified
12,Emily,Brown,FR,Tennessee,B,01:53.3,200 Butterfly,Qualified
13,Sofia,Sartori,JR,LSU,B,01:54.0,200 Butterfly,Qualified
14,Olivia,Theall,Grad,Texas A&M,B,01:54.1,200 Butterfly,Qualified
15,Carly,Novelline,JR,Virginia,B,01:54.2,200 Butterfly,Qualified
16,Ella,Jansen,FR,Tennessee,B,01:54.3,200 Butterfly,Qualified
17,Eleanor,Sun,SO,Princeton,B,01:54.6,200 Butterfly,Qualified
18,Bailey,Hartman,FR,Virginia,B,01:54.7,200 Butterfly,Qualified
19,Ashlyn,Massey,FR,Miami (FL),B,01:54.8,200 Butterfly,Qualified
20,Ieva,Maluka,JR,Georgia,B,01:55.0,200 Butterfly,Qualified
21,Heidi,Smithwick,JR,Princeton,B,01:55.0,200 Butterfly,Qualified
22,Addison,Reese,FR,Florida,B,01:55.0,200 Butterfly,Qualified
23,Lainy,Kruger,SO,Florida,B,01:55.1,200 Butterfly,Qualified
24,Mary,Macaulay,SO,UNC,B,01:55.1,200 Butterfly,Qualified
25,Lea,Polonsky,SR,California,B,01:55.1,200 Butterfly,Qualified
26,Ava,Whitaker,SO,Indiana,B,01:55.2,200 Butterfly,Qualified
26,Sarah,Walker,SO,Texas A&M,B,01:55.2,200 Butterfly,Qualified
28,Mackenzie,McConagha,SR,Wisconsin,B,01:55.2,200 Butterfly,Qualified
29,Carli,Cronk,FR,Notre Dame,B,01:55.3,200 Butterfly,Qualified
30,Kailia,Utley,SR,Vanderbilt,B,01:55.3,200 Butterfly,Qualified
31,Dora,Hathazi,JR,Washington St.,B,01:55.4,200 Butterfly,Qualified
32,Emily,Thompson,FR,Stanford,B,01:55.5,200 Butterfly,Qualified
33,Edith,Jernstedt,SR,Florida St,B,01:55.7,200 Butterfly,Qualified
33,Justina,Kozan,JR,Southern Cali,B,01:55.7,200 Butterfly,Qualified
35,Breckin,Gormley,JR,South Carolina,B,01:55.7,200 Butterfly,Qualified
36,Tristen,Ulett,Grad,Louisville,B,01:55.8,200 Butterfly,Qualified
37,Elizabeth,Cook,SR,California,B,01:55.8,200 Butterfly,Qualified
38,Margaret,Schalow,SO,Virginia,B,01:56.0,200 Butterfly,Invited
39,Angela,Coe,SO,Texas,B,01:56.0,200 Butterfly,Invited
40,Abigail,Daniel,SR,Akron,B,01:56.1,200 Butterfly,Invited
41,Ava,Chavez,SO,California,B,01:57.0,200 Butterfly,Invited
41,Sydney,Gring,SO,Pittsburgh,B,01:57.0,200 Butterfly,Invited
43,Sonia,Vaishnani,SO,Arizona St,B,01:57.4,200 Butterfly,Invited
44,Summer,Cardwell,SO,Louisville,B,01:57.6,200 Butterfly,Invited
45,Morgan,Carteaux,SO,Auburn,B,01:58.5,200 Butterfly,Invited
